L000001NF29160520|E2E 1|BERHASIL1
L000001NF29160521|E2E 2|BERHASIL2
L000001NF29160522|E2E 3|BERHASIL3
L000001NF29160523|E2E 4|BERHASIL4
L000001NF29160524|E2E 5|BERHASIL5
L000001NF29160525|E2E 6|BERHASIL6
L000001NF29160526|E2E 7|BERHASIL7
L000001NF29160527|E2E 8|BERHASIL8
L000001NF29160528|E2E 9|BERHASIL9
L000001NF29160530|E2E 10|BERHASIL10
L000001NF29160531|E2E 11|BERHASIL11
L000001NF29160532|E2E 12|BERHASIL12
L0000012000000013|E2E 13|BERHASIL13
L0000012000000014|E2E 14|BERHASIL14
L0000012000000015|E2E 15|BERHASIL15
L0000012000000016|E2E 16|BERHASIL16
L0000012000000017|E2E 17|BERHASIL17
L0000012000000018|E2E 18|BERHASIL18
L0000012000000019|E2E 19|BERHASIL19
L0000012000000020|E2E 20|BERHASIL20
L0000012000000021|E2E 21|BERHASIL21
L0000012000000022|E2E 22|BERHASIL22
L0000012000000023|E2E 23|BERHASIL23
L0000012000000024|E2E 24|BERHASIL24
L0000012000000025|E2E 25|BERHASIL25
L0000012000000026|E2E 26|BERHASIL26
L0000012000000027|E2E 27|BERHASIL27
L0000012000000028|E2E 28|BERHASIL28
